State,District,Year,Type,Cause,Deaths
Karnataka,Belgaum,2019,Accidental,Poisoning,82
Karnataka,Belgaum,2019,Accidental,Poisoning,12
Karnataka,Belgaum,2020,Accidental,Fire,43
Karnataka,Belgaum,2020,Accidental,Fire,15
Karnataka,Belgaum,2020,Accidental,Fire,87
Karnataka,Belgaum,2020,Accidental,Fire,45
Karnataka,Belgaum,2020,Natural,Stroke,83
Karnataka,Belgaum,2020,Accidental,Fall,42
Karnataka,Belgaum,2021,Accidental,Road Accident,105
Karnataka,Belgaum,2021,Accidental,Poisoning,22
Karnataka,Belgaum,2021,Accidental,Drowning,86
Karnataka,Belgaum,2021,Accidental,Drowning,55
Karnataka,Belgaum,2021,Accidental,Drowning,40
Karnataka,Belgaum,2022,Natural,Heart Attack,75
Karnataka,Belgaum,2022,Accidental,Fall,68
Karnataka,Belgaum,2022,Natural,Heart Attack,29
Karnataka,Belgaum,2022,Natural,Epidemic,23
Karnataka,Belgaum,2022,Accidental,Poisoning,90
Karnataka,Belgaum,2022,Natural,Epidemic,97
Karnataka,Belgaum,2023,Natural,Heat Stroke,98
Karnataka,Belgaum,2023,Accidental,Drowning,18
Karnataka,Belgaum,2023,Natural,Epidemic,100
Karnataka,Belgaum,2023,Accidental,Drowning,15
Karnataka,Belgaum,2023,Natural,Stroke,69
Karnataka,Belgaum,2023,Natural,Stroke,28
Karnataka,Belgaum,2024,Accidental,Drowning,10
Karnataka,Belgaum,2024,Accidental,Fire,74
Karnataka,Belgaum,2024,Accidental,Poisoning,24
Maharashtra,Mumbai,2015,Accidental,Road Accident,31
Maharashtra,Mumbai,2015,Accidental,Poisoning,12
Maharashtra,Mumbai,2015,Natural,Heart Attack,61
Maharashtra,Mumbai,2015,Natural,Epidemic,35
Maharashtra,Mumbai,2015,Natural,Epidemic,40
Maharashtra,Mumbai,2016,Accidental,Fire,30
Maharashtra,Mumbai,2016,Natural,Epidemic,68
Maharashtra,Mumbai,2016,Natural,Heart Attack,27
Maharashtra,Mumbai,2016,Natural,Stroke,28
Maharashtra,Mumbai,2016,Natural,Heat Stroke,29
Maharashtra,Mumbai,2017,Natural,Heat Stroke,47
Maharashtra,Mumbai,2017,Accidental,Fire,84
Maharashtra,Mumbai,2017,Accidental,Poisoning,77
Maharashtra,Mumbai,2017,Accidental,Poisoning,21
Maharashtra,Mumbai,2017,Natural,Stroke,49
Maharashtra,Mumbai,2017,Natural,Stroke,82
Maharashtra,Mumbai,2018,Accidental,Poisoning,72
Maharashtra,Mumbai,2018,Natural,Heat Stroke,83
Maharashtra,Mumbai,2018,Accidental,Road Accident,24
Maharashtra,Mumbai,2018,Natural,Heart Attack,68
Maharashtra,Mumbai,2019,Accidental,Fire,71
Maharashtra,Mumbai,2019,Natural,Heart Attack,80
Maharashtra,Mumbai,2019,Natural,Heat Stroke,7
Maharashtra,Mumbai,2019,Natural,Epidemic,22
Maharashtra,Mumbai,2020,Accidental,Road Accident,68
Maharashtra,Mumbai,2020,Natural,Heart Attack,42
Maharashtra,Mumbai,2020,Natural,Heart Attack,58
Maharashtra,Mumbai,2020,Accidental,Fire,65
Maharashtra,Mumbai,2021,Natural,Stroke,23
Maharashtra,Mumbai,2021,Accidental,Drowning,85
Maharashtra,Mumbai,2021,Natural,Epidemic,24
Maharashtra,Mumbai,2021,Natural,Stroke,44
Maharashtra,Mumbai,2021,Accidental,Road Accident,55
Maharashtra,Mumbai,2021,Accidental,Fall,33
Maharashtra,Mumbai,2022,Accidental,Road Accident,78
Maharashtra,Mumbai,2022,Accidental,Fall,22
Maharashtra,Mumbai,2022,Accidental,Fall,48
Maharashtra,Mumbai,2022,Natural,Epidemic,26
Maharashtra,Mumbai,2022,Accidental,Poisoning,86
Maharashtra,Mumbai,2022,Accidental,Road Accident,67
Maharashtra,Mumbai,2023,Natural,Heart Attack,40
Maharashtra,Mumbai,2023,Natural,Heat Stroke,67
Maharashtra,Mumbai,2023,Natural,Heat Stroke,79
Maharashtra,Mumbai,2023,Accidental,Fall,10
Maharashtra,Mumbai,2023,Natural,Epidemic,61
Maharashtra,Mumbai,2023,Accidental,Fire,7
Maharashtra,Mumbai,2024,Natural,Heart Attack,101
Maharashtra,Mumbai,2024,Accidental,Poisoning,77
Maharashtra,Mumbai,2024,Natural,Epidemic,47
Maharashtra,Mumbai,2024,Natural,Epidemic,67
Maharashtra,Pune,2015,Accidental,Fire,13
Maharashtra,Pune,2015,Natural,Epidemic,29
Maharashtra,Pune,2015,Natural,Heart Attack,82
Maharashtra,Pune,2015,Natural,Heart Attack,30
Maharashtra,Pune,2016,Accidental,Fire,82
Maharashtra,Pune,2016,Natural,Heat Stroke,42
Maharashtra,Pune,2016,Natural,Heat Stroke,32
Maharashtra,Pune,2016,Accidental,Poisoning,32
Maharashtra,Pune,2016,Natural,Heart Attack,59
Maharashtra,Pune,2016,Accidental,Poisoning,82
Maharashtra,Pune,2017,Accidental,Fall,78
Maharashtra,Pune,2017,Natural,Epidemic,45
Maharashtra,Pune,2017,Natural,Stroke,108
Maharashtra,Pune,2017,Accidental,Drowning,100
Maharashtra,Pune,2018,Accidental,Fall,94
Maharashtra,Pune,2018,Accidental,Poisoning,87
Maharashtra,Pune,2018,Natural,Epidemic,19
Maharashtra,Pune,2019,Accidental,Fire,20
Maharashtra,Pune,2019,Natural,Heat Stroke,75
Maharashtra,Pune,2019,Accidental,Fall,84
Maharashtra,Pune,2019,Natural,Heat Stroke,97
Maharashtra,Pune,2019,Natural,Stroke,21
Maharashtra,Pune,2020,Accidental,Fire,88
Maharashtra,Pune,2020,Accidental,Fire,86
Maharashtra,Pune,2020,Accidental,Drowning,59
Maharashtra,Pune,2020,Accidental,Road Accident,104
Maharashtra,Pune,2021,Natural,Stroke,42
Maharashtra,Pune,2021,Natural,Stroke,51
Maharashtra,Pune,2021,Accidental,Drowning,69
Maharashtra,Pune,2021,Accidental,Poisoning,70
Maharashtra,Pune,2021,Natural,Stroke,24
Maharashtra,Pune,2022,Accidental,Poisoning,97
Maharashtra,Pune,2022,Natural,Epidemic,25
Maharashtra,Pune,2022,Accidental,Drowning,61
Maharashtra,Pune,2022,Accidental,Poisoning,22
Maharashtra,Pune,2022,Natural,Stroke,54
Maharashtra,Pune,2022,Accidental,Drowning,26
Maharashtra,Pune,2023,Natural,Epidemic,66
Maharashtra,Pune,2023,Accidental,Fire,29
Maharashtra,Pune,2023,Accidental,Road Accident,56
Maharashtra,Pune,2024,Natural,Epidemic,54
Maharashtra,Pune,2024,Natural,Epidemic,11
Maharashtra,Pune,2024,Natural,Epidemic,27
Maharashtra,Pune,2024,Accidental,Poisoning,63
Maharashtra,Pune,2024,Accidental,Fall,71
Maharashtra,Nagpur,2015,Accidental,Drowning,40
Maharashtra,Nagpur,2015,Natural,Stroke,86
Maharashtra,Nagpur,2015,Accidental,Road Accident,39
Maharashtra,Nagpur,2016,Natural,Heat Stroke,16
Maharashtra,Nagpur,2016,Accidental,Poisoning,48
Maharashtra,Nagpur,2016,Accidental,Fall,67
Maharashtra,Nagpur,2016,Accidental,Poisoning,79
Maharashtra,Nagpur,2016,Accidental,Road Accident,89
Maharashtra,Nagpur,2017,Accidental,Drowning,83
Maharashtra,Nagpur,2017,Accidental,Drowning,56
Maharashtra,Nagpur,2017,Natural,Heat Stroke,7
Maharashtra,Nagpur,2017,Natural,Stroke,32
Maharashtra,Nagpur,2018,Natural,Heart Attack,36
Maharashtra,Nagpur,2018,Accidental,Fire,23
Maharashtra,Nagpur,2018,Accidental,Fall,50
Maharashtra,Nagpur,2018,Natural,Stroke,55
Maharashtra,Nagpur,2018,Natural,Stroke,16
Maharashtra,Nagpur,2019,Natural,Epidemic,45
Maharashtra,Nagpur,2019,Natural,Epidemic,83
Maharashtra,Nagpur,2019,Accidental,Road Accident,26
Maharashtra,Nagpur,2019,Accidental,Fall,29
Maharashtra,Nagpur,2019,Accidental,Fall,32
Maharashtra,Nagpur,2020,Accidental,Fire,13
Maharashtra,Nagpur,2020,Natural,Heart Attack,24
Maharashtra,Nagpur,2020,Accidental,Road Accident,96
Maharashtra,Nagpur,2021,Accidental,Poisoning,31
Maharashtra,Nagpur,2021,Accidental,Drowning,31
Maharashtra,Nagpur,2021,Natural,Heart Attack,21
Maharashtra,Nagpur,2022,Natural,Stroke,21
Maharashtra,Nagpur,2022,Accidental,Fall,32
Maharashtra,Nagpur,2022,Accidental,Fall,39
Maharashtra,Nagpur,2023,Natural,Heat Stroke,67
Maharashtra,Nagpur,2023,Accidental,Fire,110
Maharashtra,Nagpur,2023,Natural,Heat Stroke,30
Maharashtra,Nagpur,2023,Accidental,Drowning,26
Maharashtra,Nagpur,2023,Natural,Heat Stroke,80
Maharashtra,Nagpur,2024,Natural,Heart Attack,83
Maharashtra,Nagpur,2024,Natural,Heart Attack,19
Maharashtra,Nagpur,2024,Accidental,Fire,55
Maharashtra,Nagpur,2024,Accidental,Fire,23
Maharashtra,Nagpur,2024,Natural,Heart Attack,31
Maharashtra,Nashik,2015,Natural,Heat Stroke,26
Maharashtra,Nashik,2015,Accidental,Fire,97
Maharashtra,Nashik,2015,Accidental,Fire,59
Maharashtra,Nashik,2015,Accidental,Road Accident,25
Maharashtra,Nashik,2016,Natural,Epidemic,26
Maharashtra,Nashik,2016,Natural,Heat Stroke,42
Maharashtra,Nashik,2016,Accidental,Poisoning,48
Maharashtra,Nashik,2016,Accidental,Road Accident,84
Maharashtra,Nashik,2016,Natural,Heat Stroke,40
Maharashtra,Nashik,2017,Accidental,Fall,11
Maharashtra,Nashik,2017,Accidental,Road Accident,65
Maharashtra,Nashik,2017,Accidental,Fire,61
Maharashtra,Nashik,2017,Accidental,Poisoning,58
Maharashtra,Nashik,2017,Natural,Heart Attack,25
Maharashtra,Nashik,2018,Accidental,Road Accident,40
Maharashtra,Nashik,2018,Accidental,Drowning,48
Maharashtra,Nashik,2018,Accidental,Drowning,91
Maharashtra,Nashik,2018,Natural,Heart Attack,61
Maharashtra,Nashik,2018,Accidental,Road Accident,123
Maharashtra,Nashik,2018,Accidental,Road Accident,28
Maharashtra,Nashik,2019,Accidental,Fire,20
Maharashtra,Nashik,2019,Natural,Heat Stroke,12
Maharashtra,Nashik,2019,Natural,Stroke,80
Maharashtra,Nashik,2020,Accidental,Fall,87
Maharashtra,Nashik,2020,Natural,Epidemic,75
Maharashtra,Nashik,2020,Accidental,Fire,63
Maharashtra,Nashik,2020,Natural,Heat Stroke,85
Maharashtra,Nashik,2020,Accidental,Road Accident,55
Maharashtra,Nashik,2021,Natural,Heat Stroke,23
Maharashtra,Nashik,2021,Natural,Epidemic,87
Maharashtra,Nashik,2021,Accidental,Fire,78
Maharashtra,Nashik,2021,Accidental,Fall,94
Maharashtra,Nashik,2021,Accidental,Road Accident,34
Maharashtra,Nashik,2021,Accidental,Fire,77
Maharashtra,Nashik,2022,Natural,Stroke,9
Maharashtra,Nashik,2022,Natural,Heat Stroke,24
Maharashtra,Nashik,2022,Accidental,Drowning,59
Maharashtra,Nashik,2022,Accidental,Fire,36
Maharashtra,Nashik,2023,Accidental,Road Accident,45
Maharashtra,Nashik,2023,Natural,Heat Stroke,95
Maharashtra,Nashik,2023,Accidental,Fire,45
Maharashtra,Nashik,2023,Accidental,Fall,65
Maharashtra,Nashik,2024,Accidental,Poisoning,37
Maharashtra,Nashik,2024,Natural,Heart Attack,27
Maharashtra,Nashik,2024,Accidental,Fire,42
Maharashtra,Nashik,2024,Accidental,Fall,89
Maharashtra,Nashik,2024,Natural,Heat Stroke,34
Maharashtra,Nashik,2024,Accidental,Road Accident,60
Maharashtra,Aurangabad,2015,Accidental,Drowning,64
Maharashtra,Aurangabad,2015,Accidental,Poisoning,51
Maharashtra,Aurangabad,2015,Natural,Heat Stroke,14
Maharashtra,Aurangabad,2015,Accidental,Fall,4
Maharashtra,Aurangabad,2015,Accidental,Fire,9
Maharashtra,Aurangabad,2016,Natural,Stroke,100
Maharashtra,Aurangabad,2016,Natural,Heat Stroke,6
Maharashtra,Aurangabad,2016,Accidental,Poisoning,73
Maharashtra,Aurangabad,2016,Natural,Stroke,72
Maharashtra,Aurangabad,2016,Natural,Heart Attack,85
Maharashtra,Aurangabad,2016,Natural,Heat Stroke,51
Maharashtra,Aurangabad,2017,Natural,Epidemic,64
Maharashtra,Aurangabad,2017,Natural,Epidemic,85
Maharashtra,Aurangabad,2017,Natural,Heart Attack,64
Maharashtra,Aurangabad,2017,Accidental,Poisoning,78
Maharashtra,Aurangabad,2018,Accidental,Fall,47
Maharashtra,Aurangabad,2018,Accidental,Poisoning,62
Maharashtra,Aurangabad,2018,Natural,Stroke,13
Maharashtra,Aurangabad,2019,Natural,Stroke,64
Maharashtra,Aurangabad,2019,Accidental,Poisoning,25
Maharashtra,Aurangabad,2019,Accidental,Fire,52
Maharashtra,Aurangabad,2019,Natural,Heart Attack,110
Maharashtra,Aurangabad,2019,Natural,Epidemic,77
Maharashtra,Aurangabad,2019,Accidental,Poisoning,89
Maharashtra,Aurangabad,2020,Accidental,Road Accident,61
Maharashtra,Aurangabad,2020,Accidental,Fall,27
Maharashtra,Aurangabad,2020,Natural,Heat Stroke,94
Maharashtra,Aurangabad,2020,Natural,Heat Stroke,49
Maharashtra,Aurangabad,2021,Accidental,Fire,17
Maharashtra,Aurangabad,2021,Natural,Epidemic,106
Maharashtra,Aurangabad,2021,Natural,Stroke,70
Maharashtra,Aurangabad,2021,Accidental,Drowning,43
Maharashtra,Aurangabad,2021,Accidental,Road Accident,34
Maharashtra,Aurangabad,2022,Accidental,Fire,96
Maharashtra,Aurangabad,2022,Accidental,Fall,121
Maharashtra,Aurangabad,2022,Accidental,Fire,84
Maharashtra,Aurangabad,2022,Accidental,Fall,23
Maharashtra,Aurangabad,2022,Natural,Stroke,35
Maharashtra,Aurangabad,2023,Natural,Heart Attack,19
Maharashtra,Aurangabad,2023,Accidental,Fire,44
Maharashtra,Aurangabad,2023,Natural,Heat Stroke,12
Maharashtra,Aurangabad,2023,Natural,Epidemic,103
Maharashtra,Aurangabad,2024,Natural,Epidemic,89
Maharashtra,Aurangabad,2024,Natural,Heat Stroke,63
Maharashtra,Aurangabad,2024,Natural,Stroke,67
Maharashtra,Aurangabad,2024,Accidental,Poisoning,85
Maharashtra,Aurangabad,2024,Accidental,Fire,60
Maharashtra,Aurangabad,2024,Natural,Epidemic,64
Delhi,New Delhi,2015,Natural,Heart Attack,21
Delhi,New Delhi,2015,Accidental,Fire,25
Delhi,New Delhi,2015,Accidental,Fire,115
Delhi,New Delhi,2015,Accidental,Drowning,46
Delhi,New Delhi,2016,Accidental,Fire,54
Delhi,New Delhi,2016,Natural,Epidemic,72
Delhi,New Delhi,2016,Natural,Heart Attack,70
Delhi,New Delhi,2016,Natural,Epidemic,62
Delhi,New Delhi,2016,Accidental,Drowning,84
Delhi,New Delhi,2017,Accidental,Poisoning,74
Delhi,New Delhi,2017,Accidental,Fall,66
Delhi,New Delhi,2017,Accidental,Road Accident,60
Delhi,New Delhi,2017,Natural,Stroke,49
Delhi,New Delhi,2017,Accidental,Road Accident,65
Delhi,New Delhi,2017,Accidental,Poisoning,73
Delhi,New Delhi,2018,Accidental,Fire,53
Delhi,New Delhi,2018,Natural,Epidemic,6
Delhi,New Delhi,2018,Accidental,Fall,67
Delhi,New Delhi,2018,Natural,Epidemic,95
Delhi,New Delhi,2018,Accidental,Fire,64
Delhi,New Delhi,2019,Accidental,Fire,67
Delhi,New Delhi,2019,Natural,Stroke,33
Delhi,New Delhi,2019,Accidental,Poisoning,65
Delhi,New Delhi,2020,Natural,Heart Attack,51
Delhi,New Delhi,2020,Accidental,Drowning,16
Delhi,New Delhi,2020,Natural,Stroke,48
Delhi,New Delhi,2020,Accidental,Poisoning,108
Delhi,New Delhi,2020,Natural,Epidemic,58
Delhi,New Delhi,2021,Accidental,Poisoning,38
Delhi,New Delhi,2021,Accidental,Fall,46
Delhi,New Delhi,2021,Natural,Heat Stroke,103
Delhi,New Delhi,2021,Natural,Epidemic,13
Delhi,New Delhi,2021,Natural,Stroke,76
Delhi,New Delhi,2021,Natural,Heart Attack,7
Delhi,New Delhi,2022,Natural,Heart Attack,39
Delhi,New Delhi,2022,Accidental,Drowning,83
Delhi,New Delhi,2022,Accidental,Fall,24
Delhi,New Delhi,2022,Natural,Heat Stroke,159
Delhi,New Delhi,2022,Accidental,Road Accident,44
Delhi,New Delhi,2023,Natural,Stroke,100
Delhi,New Delhi,2023,Accidental,Drowning,57
Delhi,New Delhi,2023,Natural,Epidemic,69
Delhi,New Delhi,2024,Natural,Heart Attack,54
Delhi,New Delhi,2024,Accidental,Poisoning,99
Delhi,New Delhi,2024,Natural,Stroke,12
Delhi,New Delhi,2024,Accidental,Road Accident,44
Delhi,New Delhi,2024,Accidental,Fire,7
Delhi,New Delhi,2024,Accidental,Poisoning,51
Delhi,North Delhi,2015,Natural,Heart Attack,61
Delhi,North Delhi,2015,Accidental,Drowning,34
Delhi,North Delhi,2015,Accidental,Fire,39
Delhi,North Delhi,2015,Accidental,Drowning,20
Delhi,North Delhi,2015,Accidental,Poisoning,55
Delhi,North Delhi,2016,Accidental,Drowning,82
Delhi,North Delhi,2016,Accidental,Drowning,89
Delhi,North Delhi,2016,Accidental,Fall,61
Delhi,North Delhi,2016,Natural,Heart Attack,31
